,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
76,Andrew Pinnock\PinnAn00,SDG,,23,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,16,76
77,Malaefou MacKenzie\MacKMa20,JAX,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,9,77
78,Jimmy Smith\SmitJi00,JAX,WR,34,12,12,0,0,0,0,0,0,0,,0,112,54,805,14.91,4,1,,4,,,105,158.5,161.5,131.5,,30,78
79,Brad Johnson\JohnBr00,TAM,QB,35,16,16,354,570,3811,26,21,25,33,1.32,0,1,0,-2,,0,6,2,0,,1,216,215.5,241.5,236.5,,12,
80,Tom Brady\BradTo00,NWE,QB,26,16,16,317,527,3620,23,12,42,63,1.50,1,0,0,0,,0,13,5,1,,,215,215.1,235.1,227.1,,13,
81,Quincy Carter\CartQu00,DAL,QB,26,16,16,292,505,3302,17,21,68,257,3.78,2,0,0,0,,0,10,3,2,,,190,189.8,219.8,210.8,,14,
82,Tommy Maddox\MaddTo00,PIT,QB,32,16,16,298,519,3414,18,17,13,12,0.92,0,0,0,0,,0,5,2,0,,,172,171.8,193.8,188.8,,15,
83,Jake Delhomme\DelhJa00,CAR,QB,28,16,15,266,449,3219,19,16,42,39,0.93,1,0,0,0,,0,15,6,1,,,171,170.7,195.7,186.7,,16,
84,Jake Plummer\PlumJa00,DEN,QB,29,11,11,189,302,2182,15,7,37,205,5.54,3,0,0,0,,0,4,2,3,,,168,167.8,182.8,174.8,,17,
85,Joey Harrington\HarrJo00,DET,QB,25,16,16,309,554,2880,17,22,30,86,2.87,0,1,1,8,8.00,0,6,,0,,2,153,153.6,178.6,175.1,,18,
86,Byron Leftwich\LeftBy00,JAX,QB,23,15,13,239,418,2819,14,16,25,108,4.32,2,0,0,0,,0,11,6,2,,,148,147.6,175.6,163.6,,19,
87,Anthony Thomas\ThomAn01,CHI,RB,26,13,13,0,0,0,0,0,244,1024,4.20,6,14,9,36,4.00,0,1,,6,,,142,151.0,154.0,146.5,,24,
88,Kerry Collins\CollKe00,NYG,QB,31,13,13,284,500,3110,13,16,17,49,2.88,0,0,0,0,,0,12,5,0,1,,141,141.3,165.3,157.3,,20,
89,Jeff Blake\BlakJe00,ARI,QB,33,13,13,208,367,2247,13,15,30,177,5.90,2,0,0,0,,0,8,3,2,1,,138,137.6,161.6,152.6,,21,
90,Troy Hambrick\HambTr00,DAL,RB,27,16,16,0,0,0,0,0,275,972,3.53,5,24,17,99,5.82,0,4,3,5,,,131,148.1,154.1,139.6,,25,
91,Patrick Ramsey\RamsPa00,WAS,QB,24,11,11,179,337,2166,14,9,15,62,4.13,1,0,0,0,,0,8,5,1,,2,131,130.8,147.8,139.8,,22,
92,Warrick Dunn\DunnWa00,ATL,RB,28,11,6,0,0,0,0,0,125,672,5.38,3,52,37,336,9.08,2,2,1,5,,,129,165.8,172.8,147.3,,26,
93,Chad Pennington\PennCh01,NYJ,QB,27,10,9,189,297,2139,13,12,21,42,2.00,2,0,0,0,,0,8,2,2,,1,128,127.8,144.8,139.8,,23,
94,Drew Bledsoe\BledDr00,BUF,QB,31,16,16,274,471,2860,11,12,24,29,1.21,2,0,0,0,,0,15,11,2,,,127,127.3,153.3,139.3,,24,
95,Jerome Bettis\BettJe00,PIT,RB,31,16,10,0,0,0,0,0,246,811,3.30,7,22,13,86,6.62,0,5,4,7,1,,126,138.7,145.7,132.2,,27,
96,Duce Staley\StalDu00,PHI,RB,28,16,4,0,0,0,0,0,96,463,4.82,5,47,36,382,10.61,2,2,2,7,,,123,158.5,166.5,140.5,,28,
97,Jay Fiedler\FiedJa00,MIA,QB,32,12,11,179,314,2138,11,13,34,88,2.59,3,0,0,0,,0,7,4,3,,,122,122.3,142.3,135.3,,25,
98,Correll Buckhalter\BuckCo00,PHI,RB,25,15,5,0,0,0,0,0,126,542,4.30,8,14,10,133,13.30,1,3,2,9,,,118,127.5,135.5,122.5,,31,
99,David Carr\CarrDa00,HOU,QB,24,12,11,167,295,2013,9,13,27,151,5.59,2,1,0,0,,0,4,,2,,,118,117.6,136.6,130.6,,26,
100,Charlie Garner\GarnCh00,OAK,RB,31,14,9,0,0,0,0,0,120,553,4.61,3,70,48,386,8.04,1,1,,4,,,118,165.9,171.9,141.9,,30,
101,Garrison Hearst\HearGa00,SFO,RB,32,12,12,0,0,0,0,0,178,768,4.31,3,38,25,211,8.44,1,2,2,4,,,118,142.9,150.9,130.4,,29,
102,Drew Brees\BreeDr00,SDG,QB,24,11,11,205,356,2108,11,15,21,84,4.00,0,1,1,21,21.00,1,5,3,1,,1,111,111.8,132.8,126.3,,27,
103,Shawn Bryson\BrysSh00,DET,RB,27,16,13,0,0,0,0,0,158,606,3.84,3,72,54,340,6.30,0,2,1,3,,,111,164.6,171.6,137.6,,32,
104,Richie Anderson\AndeRi00,DAL,RB,32,15,8,0,1,0,0,0,70,306,4.37,1,87,69,493,7.14,4,1,,5,,,110,178.9,184.9,144.4,,33,
105,Bobby Engram\EngrBo00,SEA,WR,30,16,7,0,0,0,0,0,0,0,,0,75,52,637,12.25,6,5,1,7,,,104,155.7,159.7,129.7,,31,
106,Kordell Stewart\StewKo00,CHI,QB,31,9,7,126,251,1418,7,12,59,290,4.92,3,0,0,0,,0,7,3,3,1,,104,103.7,124.7,115.7,,28,
107,Peerless Price\PricPe00,ATL,WR,27,16,15,0,0,0,0,0,2,3,1.50,0,141,64,838,13.09,3,0,,3,,,102,166.1,169.1,134.1,,32,
108,Tai Streets\StreTa00,SFO,WR,26,16,16,0,0,0,0,0,0,0,,0,85,47,595,12.66,7,0,,7,,,102,148.5,151.5,125.0,,33,
109,Kevin Faulk\FaulKe00,NWE,RB,27,15,8,0,1,0,0,0,178,638,3.58,0,67,48,440,9.17,0,4,4,0,,,100,147.8,157.8,123.8,,34,
110,Rod Gardner\GardRo00,WAS,WR,26,16,16,2,3,46,2,0,0,0,,0,115,59,600,10.17,5,1,,5,,,100,158.8,161.8,129.3,,34,
111,Muhsin Muhammad\MuhaMu00,CAR,WR,30,15,15,0,0,0,0,0,2,-2,-1.00,0,100,54,837,15.50,3,3,1,3,,,100,153.5,157.5,126.5,,35,
112,Tyrone Wheatley\WheaTy00,OAK,RB,31,15,5,0,0,0,0,0,159,678,4.26,4,18,12,120,10.00,0,2,2,4,,,100,111.8,119.8,105.8,,35,
113,Deion Branch\BranDe00,NWE,WR,24,15,12,0,0,0,0,0,1,11,11.00,0,104,57,803,14.09,3,0,,3,,,99,156.4,159.4,127.9,,36,
114,Jerry Rice\RiceJe00,OAK,WR,41,16,15,0,1,0,0,0,0,0,,0,124,63,869,13.79,2,2,1,2,,,97,159.9,163.9,128.4,,38,
115,Bobby Shaw\ShawBo00,BUF,WR,28,16,7,0,0,0,0,0,0,0,,0,86,56,732,13.07,4,1,,4,,,97,153.2,156.2,125.2,,37,
116,Marty Booker\BookMa00,CHI,WR,27,13,13,0,0,0,0,0,3,-7,-2.33,0,105,52,715,13.75,4,1,,4,,,95,146.8,149.8,120.8,,39,
117,Ike Hilliard\HillIk00,NYG,WR,27,13,12,0,0,0,0,0,2,19,9.50,0,102,60,608,10.13,6,2,2,6,,,95,154.7,159.7,124.7,,40,
